Score for architecture = [41, 3800, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.84000009298%, MSE = 0.008300105609
Score for architecture = [41, 3900, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.6800001055%, MSE = 0.00830004377663
Score for architecture = [41, 4000, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.44000010192%, MSE = 0.00829191276431
Score for architecture = [41, 4100, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.96000010371%, MSE = 0.00829548573494
Score for architecture = [41, 4200, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.40000010431%, MSE = 0.00829971437156
Score for architecture = [41, 4300, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.48000009656%, MSE = 0.00829062947631
Score for architecture = [41, 4400, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.3200000912%, MSE = 0.00829891121387
Score for architecture = [41, 4500, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.20000007749%, MSE = 0.00830867555737
Score for architecture = [41, 4600, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.64000010788%, MSE = 0.00829352024198
Score for architecture = [41, 4700, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.76000008583%, MSE = 0.00830502385646
Score for architecture = [41, 4800, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.52000008523%, MSE = 0.0083067593649
Score for architecture = [41, 4900, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.96000010073%, MSE = 0.00830744262785
Score for architecture = [41, 5000, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.96000009179%, MSE = 0.00829703727365
Best Config: architecture = [41, 3900, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu, best_acc = 5.6800001055%
Best Config MSE: architecture = [41, 3200, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu, best_mse = 0.0082892312631
